127.0.0.1 - - [27/Jul/2012:10:22:42 +0530] "GET / HTTP/1.1" 404 953
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:40:48 +0530] "GET /Day03/login.jsp?username=admin&password=admin HTTP/1.1" 200 63
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:40:48 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:40:48 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:41:16 +0530] "GET /Day03/lab07.html HTTP/1.1" 200 3607
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:41:16 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:41:18 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:41:18 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:41:23 +0530] "GET /Day03/login.jsp?username=admin&password=admin HTTP/1.1" 200 63
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:41:23 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:41:23 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:41:26 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:41:26 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:41:31 +0530] "GET /Day03/lab07.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:41:31 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:42:16 +0530] "GET /Day03/lab07.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2012:11:13:57 +0530] "GET /Day03/websql.html HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [27/Jul/2012:11:13:57 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [27/Jul/2012:11:16:41 +0530] "GET /Day03/websql.html HTTP/1.1" 200 329
0:0:0:0:0:0:0:1 - - [27/Jul/2012:11:16:41 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [27/Jul/2012:11:20:36 +0530] "GET /Day03/websql.html HTTP/1.1" 200 661
0:0:0:0:0:0:0:1 - - [27/Jul/2012:11:20:36 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [27/Jul/2012:11:20:38 +0530] "GET /Day03/websql.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2012:11:20:38 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [27/Jul/2012:11:20:54 +0530] "GET /Day03/websql.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2012:11:20:54 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [27/Jul/2012:11:20:56 +0530] "GET /Day03/websql.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2012:11:20:56 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [27/Jul/2012:11:20:57 +0530] "GET /Day03/websql.html HTTP/1.1" 200 661
0:0:0:0:0:0:0:1 - - [27/Jul/2012:11:20:57 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [27/Jul/2012:11:21:04 +0530] "GET /Day03/websql.html HTTP/1.1" 200 673
0:0:0:0:0:0:0:1 - - [27/Jul/2012:11:21:04 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [27/Jul/2012:11:25:53 +0530] "GET /Day03/websql.html HTTP/1.1" 200 999
0:0:0:0:0:0:0:1 - - [27/Jul/2012:11:25:53 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [27/Jul/2012:11:31:19 +0530] "GET /Day03/websql.html HTTP/1.1" 200 1123
0:0:0:0:0:0:0:1 - - [27/Jul/2012:11:31:19 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:28:21 +0530] "GET /Day03/lab08.html HTTP/1.1" 200 3983
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:28:22 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:29:00 +0530] "GET /Day03/lab08.html HTTP/1.1" 200 4026
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:29:15 +0530] "GET /Day03/login.jsp?username=admin&password=admin HTTP/1.1" 200 63
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:29:15 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:29:15 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:29:31 +0530] "GET /Day03/lab08.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:29:32 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:30:16 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:30:24 +0530] "GET /Day03/lab08.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:30:30 +0530] "GET /Day03/login.jsp?username=admin&password=admin HTTP/1.1" 200 63
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:30:30 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:30:30 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:30:41 +0530] "GET /Day03/lab08.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:30:41 +0530] "GET /Day03/jquery.mobile-1.1.1.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:30:41 +0530] "GET /Day03/jquery-1.7.2.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:30:41 +0530] "GET /Day03/jquery.mobile-1.1.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:31:30 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:31:30 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:31:35 +0530] "GET /Day03/lab08.html HTTP/1.1" 200 4081
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:31:35 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:31:42 +0530] "GET /Day03/login.jsp?username=admin&password=admin HTTP/1.1" 200 63
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:31:42 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:31:46 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:32:40 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:32:40 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:32:42 +0530] "GET /Day03/lab08.html HTTP/1.1" 200 4092
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:32:47 +0530] "GET /Day03/login.jsp?username=admin&password=admin HTTP/1.1" 200 63
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:32:47 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:32:48 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:33:47 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:33:47 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:33:49 +0530] "GET /Day03/lab08.html HTTP/1.1" 200 4113
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:33:49 +0530] "GET /Day03/jquery-1.7.2.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:33:49 +0530] "GET /Day03/jquery.mobile-1.1.1.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:33:49 +0530] "GET /Day03/jquery.mobile-1.1.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:33:53 +0530] "GET /Day03/login.jsp?username=admin&password=admin HTTP/1.1" 200 63
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:33:53 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:33:55 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:35:03 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:35:03 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:35:07 +0530] "GET /Day03/lab08.html HTTP/1.1" 200 4116
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:35:08 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:35:25 +0530] "GET /Day03/login.jsp?username=admin&password=admin HTTP/1.1" 200 63
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:35:25 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:35:26 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:36:47 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:36:47 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:36:52 +0530] "GET /Day03/lab08.html HTTP/1.1" 200 4106
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:36:53 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:37:03 +0530] "GET /Day03/login.jsp?username=admin&password=admin HTTP/1.1" 200 63
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:37:03 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:37:04 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:37:37 +0530] "GET /Day03/lab08.html HTTP/1.1" 200 4106
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:37:37 +0530] "GET /Day03/jquery.mobile-1.1.1.css HTTP/1.1" 200 102759
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:37:37 +0530] "GET /Day03/jquery-1.7.2.js HTTP/1.1" 200 262283
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:37:37 +0530] "GET /Day03/jquery.mobile-1.1.1.js HTTP/1.1" 200 244345
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:37:37 +0530] "GET /Day03/images/icons-18-white.png HTTP/1.1" 200 1806
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:37:37 +0530] "GET /Day03/images/ajax-loader.gif HTTP/1.1" 200 7825
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:37:37 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:37:46 +0530] "GET /Day03/login.jsp?username=admin&password=admin HTTP/1.1" 200 63
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:37:46 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:37:47 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:38:02 +0530] "GET /Day03/lab08.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:38:03 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:38:43 +0530] "GET /Day03/lab08.html HTTP/1.1" 200 4140
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:38:44 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:39:04 +0530] "GET /Day03/lab08.html HTTP/1.1" 200 4130
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:39:06 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:39:40 +0530] "GET /Day03/lab08.html HTTP/1.1" 200 4169
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:40:11 +0530] "GET /Day03/lab08.html HTTP/1.1" 200 4174
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:40:12 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:40:54 +0530] "GET /Day03/lab08.html HTTP/1.1" 200 4195
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:40:56 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:41:24 +0530] "GET /Day03/lab08.html HTTP/1.1" 200 4226
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:41:33 +0530] "GET /Day03/lab08.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:41:35 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:43:26 +0530] "GET /Day03/lab08.html HTTP/1.1" 200 4178
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:43:55 +0530] "GET /Day03/lab08.html HTTP/1.1" 200 4209
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:43:56 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:44:35 +0530] "GET /Day03/lab08.html HTTP/1.1" 200 4214
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:44:37 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:46:10 +0530] "GET /Day03/lab08.html HTTP/1.1" 200 4284
0:0:0:0:0:0:0:1 - - [27/Jul/2012:12:46:12 +0530] "GET /favicon.ico HTTP/1.1" 404 986
